;32;64;128;256;512;1024
2;8388608;7.11414
4;1024;0.007136
4;2048;0.006144
4;4096;0.007168
4;8192;0.009472
4;16384;0.012704
4;32768;0.02064
4;65536;0.03376
4;131072;0.062112
4;262144;0.117952
4;524288;0.230944
4;1048576;0.455648
4;2097152;1.43472
4;4194304;1.80214
4;8388608;3.59606
8;1024;0.006816
8;2048;0.006688
8;4096;0.006336
8;8192;0.007584
8;16384;0.009216
8;32768;0.01248
8;65536;0.020448
8;131072;0.034784
8;262144;0.061856
8;524288;0.119264
8;1048576;0.232032
8;2097152;0.45728
8;4194304;0.907776
8;8388608;1.81059
16;1024;0.006784
16;2048;0.007232
16;4096;0.006944
16;8192;0.006688
16;16384;0.007552
16;32768;0.008928
16;65536;0.012576
16;131072;0.01984
16;262144;0.034848
16;524288;0.061888
16;1048576;0.119776
16;2097152;0.232832
16;4194304;0.45872
16;8388608;0.915776
32;1024;0.007072
32;2048;0.00704
32;4096;0.005728
32;8192;0.0064
32;16384;0.00672
32;32768;0.007136
32;65536;0.008992
32;131072;0.017536
32;262144;0.022496
32;524288;0.041728
32;1048576;0.077664
32;2097152;0.148736
32;4194304;0.293984
32;8388608;0.57968
64;1024;0.006784
64;2048;0.005888
64;4096;0.00576
64;8192;0.006464
64;16384;0.008096
64;32768;0.006496
64;65536;0.007424
64;131072;0.013472
64;262144;0.020128
64;524288;0.041888
64;1048576;0.080608
64;2097152;0.14848
64;4194304;0.291424
64;8388608;0.57664
128;1024;0.006816
128;2048;0.00704
128;4096;0.006976
128;8192;0.00656
128;16384;0.006592
128;32768;0.006592
128;65536;0.00736
128;131072;0.014464
128;262144;0.021312
128;524288;0.038048
128;1048576;0.078048
128;2097152;0.14816
128;4194304;0.30768
128;8388608;0.61264
256;1024;0.006912
256;2048;0.005728
256;4096;0.00704
256;8192;0.0064
256;16384;0.007904
256;32768;0.006496
256;65536;0.008992
256;131072;0.010144
256;262144;0.020288
256;524288;0.04144
256;1048576;0.082848
256;2097152;0.148768
256;4194304;0.72672
256;8388608;0.60592
512;1024;0.007008
512;2048;0.00656
512;4096;0.00592
512;8192;0.006368
512;16384;0.006656
512;32768;0.00688
512;65536;0.008672
512;131072;0.010496
512;262144;0.020064
512;524288;0.043456
512;1048576;0.08208
512;2097152;0.149696
512;4194304;0.291424
512;8388608;0.577472
1024;1024;0.007136
1024;2048;0.005856
1024;4096;0.013344
1024;8192;0.006592
1024;16384;0.006304
1024;32768;0.006688
1024;65536;0.007648
1024;131072;0.01184
1024;262144;0.020416
1024;524288;0.038368
1024;1048576;0.07808
1024;2097152;0.146016
1024;4194304;0.291104
1024;8388608;0.57952
ThreadsPerBlock;Block;Timer
ThreadsPerBlock;Block;Timer
2;1024;0.007776
2;2048;0.008544
2;4096;0.01024
2;8192;0.014368
2;16384;0.02208
2;32768;0.037152
2;65536;0.066688
2;131072;0.127616
2;262144;0.247232
2;524288;0.487712
2;1048576;0.96704
2;2097152;2.65523
2;4194304;3.84672
2;8388608;7.6879
4;1024;0.007104
4;2048;0.007392
4;4096;0.008608
4;8192;0.0104
4;16384;0.014048
4;32768;0.021984
4;65536;0.037472
4;131072;0.067456
4;262144;0.128128
4;524288;0.249952
4;1048576;0.492928
4;2097152;0.977504
4;4194304;1.94854
4;8388608;3.88934
8;1024;0.006816
8;2048;0.00704
8;4096;0.007456
8;8192;0.008256
8;16384;0.010656
8;32768;0.014432
8;65536;0.022528
8;131072;0.037056
8;262144;0.067616
8;524288;0.128768
8;1048576;0.250816
8;2097152;0.497696
8;4194304;0.980768
8;8388608;2.124
16;1024;0.007104
16;2048;0.00688
16;4096;0.006784
16;8192;0.007936
16;16384;0.008768
16;32768;0.010592
16;65536;0.014016
16;131072;0.022112
16;262144;0.0376
